driver,lap,time
Hamilton,48,01.18.9
Hamilton,49,01.19.2
Hamilton,50,01.17.9
Hamilton,51,01.18.5
Hamilton,52,01.19.0
Hamilton,53,01.18.8
Hamilton,54,01.19.2
Hamilton,55,01.18.0
Hamilton,56,01.18.5
Hamilton,57,01.18.6
Hamilton,58,01.19.0
Hamilton,59,01.18.5
Hamilton,60,01.16.7
Hamilton,61,01.18.8
Hamilton,62,01.18.8
Hamilton,63,01.18.0
Leclerc,1,01.47.2
Leclerc,2,02.25.3
Leclerc,3,02.21.1
Leclerc,4,02.22.8
Leclerc,5,02.25.5
Leclerc,6,02.16.9
Leclerc,7,01.39.6
Leclerc,8,01.34.8
Leclerc,9,01.32.5
Leclerc,10,01.31.7
Leclerc,11,01.30.7
Leclerc,12,01.30.3
Leclerc,13,01.29.4
Leclerc,14,01.29.1
Leclerc,15,01.28.8
Leclerc,16,01.29.6
Leclerc,17,01.28.1
Leclerc,18,01.27.5
Leclerc,19,01.28.1
Leclerc,20,01.28.5
Leclerc,21,01.27.6
Leclerc,22,01.27.1
Leclerc,23,01.27.2
Leclerc,24,01.26.8
Leclerc,25,01.28.3
Leclerc,26,01.28.1
Leclerc,27,01.27.5
Leclerc,28,01.32.5
Leclerc,29,01.53.9
Leclerc,30,01.24.3
Leclerc,31,01.24.4
Leclerc,32,01.51.9
Leclerc,33,02.11.8
Leclerc,34,null
Leclerc,35,01.25.4
Leclerc,36,01.21.5
Leclerc,37,01.20.8
Leclerc,38,01.20.4
Leclerc,39,01.20.4
Leclerc,40,01.19.5
Leclerc,41,01.19.6
Leclerc,42,01.19.4
Leclerc,43,01.19.4
Leclerc,44,01.19.2
Leclerc,45,01.19.2
Leclerc,46,01.19.4
Leclerc,47,01.18.9
Leclerc,48,01.19.1
Leclerc,49,01.19.0
Leclerc,50,01.18.8
Leclerc,51,01.18.8
Leclerc,52,01.19.1
Leclerc,53,01.18.7
Leclerc,54,01.19.3
Leclerc,55,01.20.0
Leclerc,56,01.19.0
Leclerc,57,01.18.6
Leclerc,58,01.18.7
Leclerc,59,01.18.7
Leclerc,60,01.18.4
Leclerc,61,01.18.6
Leclerc,62,01.18.5
Leclerc,63,01.18.6
Perez,1,01.47.8
Perez,2,02.26.2
Perez,3,02.20.7
Perez,4,02.22.9
Perez,5,02.25.3
Perez,6,02.16.3
Perez,7,01.42.2
Perez,8,01.37.9
Perez,9,01.34.4
Perez,10,01.33.1
Perez,11,01.31.6
Perez,12,01.30.3
Perez,13,01.29.8
Perez,14,01.29.4
Perez,15,01.28.7
Perez,16,01.27.9
Perez,17,01.27.4
Perez,18,01.28.2
Perez,19,01.26.9
Perez,20,01.26.5
Perez,21,01.27.7
Perez,22,01.27.2
Perez,23,01.28.4
Perez,24,01.30.6
Perez,25,01.30.3
Perez,26,01.29.1
Perez,27,01.27.7
Perez,28,01.32.7
Perez,29,02.07.5
Perez,30,01.24.0
Perez,31,01.32.6
Perez,32,02.10.0
Perez,33,01.58.7
Perez,34,null
Perez,35,01.25.7
Perez,36,01.21.5
Perez,37,01.20.6
Perez,38,01.42.7
Perez,39,01.21.4
Perez,40,01.19.6
Perez,41,01.19.9
Perez,42,01.19.6
Perez,43,01.19.1
Perez,44,01.20.5
Perez,45,01.21.3
Perez,46,01.20.6
Perez,47,01.22.1
Perez,48,01.18.9
Perez,49,01.18.3
Perez,50,01.18.4
Perez,51,01.18.3
Perez,52,01.19.6
Perez,53,01.20.3
Perez,54,01.20.1
Perez,55,01.20.0
Perez,56,01.19.8
Perez,57,01.19.6
Perez,58,01.19.6
Perez,59,01.19.8
Perez,60,01.20.0
Perez,61,01.19.4
Perez,62,01.19.4
Perez,63,01.19.7
Bottas,1,02.00.9
Bottas,2,02.22.9
Bottas,3,02.20.7
Bottas,4,02.25.9
Bottas,5,02.23.9
Bottas,6,02.07.9
Bottas,7,01.44.8
Bottas,8,01.41.6
Bottas,9,01.37.3
Bottas,10,01.37.7
Bottas,11,01.37.6
Bottas,12,01.32.4
Bottas,13,01.31.5
Bottas,14,01.31.1
Bottas,15,01.30.8
Bottas,16,01.29.3
Bottas,17,01.29.4
Bottas,18,01.29.9
Bottas,19,01.28.8
Bottas,20,01.28.5
Bottas,21,01.28.8
Bottas,22,01.30.1
Bottas,23,01.30.1
Bottas,24,01.30.5
Bottas,25,01.30.3
Bottas,26,01.29.6
Bottas,27,01.29.0
Bottas,28,01.33.7
Bottas,29,01.55.3
Bottas,30,01.28.5
